,bill_length_mm,bill_depth_mm,body_mass_g,island_Biscoe,island_Dream,island_Torgersen,sex_male
293,50.0,19.5,3900.0,0,1,0,1.0
300,46.0,18.9,4150.0,0,1,0,0.0
283,55.1,16.0,5850.0,1,0,0,1.0
207,50.5,15.9,5400.0,1,0,0,1.0
160,46.1,13.2,4500.0,1,0,0,0.0
92,37.3,17.8,3350.0,0,1,0,0.0
125,37.3,20.5,3775.0,0,0,1,1.0
224,45.8,14.2,4700.0,1,0,0,0.0
200,42.7,13.7,3950.0,1,0,0,0.0
60,35.0,17.9,3450.0,1,0,0,0.0
290,45.2,14.8,5200.0,1,0,0,0.0
231,45.4,18.7,3525.0,0,1,0,0.0
49,40.8,18.4,3900.0,0,1,0,1.0
57,42.3,21.2,4150.0,0,1,0,1.0
69,41.3,21.1,4400.0,1,0,0,1.0
137,44.1,18.0,4000.0,0,0,1,1.0
8,34.1,18.1,3475.0,0,0,1,
265,46.9,14.6,4875.0,1,0,0,0.0
248,49.1,14.5,4625.0,1,0,0,0.0
61,42.0,19.5,4050.0,1,0,0,1.0
62,34.5,18.1,2900.0,1,0,0,0.0
133,40.6,19.0,4000.0,0,0,1,1.0
357,55.8,19.8,4000.0,0,1,0,1.0
134,38.8,17.6,3275.0,0,0,1,0.0
39,37.2,18.1,3900.0,0,1,0,1.0
58,39.6,17.7,3500.0,1,0,0,0.0
278,50.5,15.2,5000.0,1,0,0,0.0
93,41.3,20.3,3550.0,0,1,0,1.0
252,44.9,13.8,4750.0,1,0,0,0.0
29,38.2,18.1,3950.0,1,0,0,1.0
150,32.1,15.5,3050.0,0,1,0,0.0
249,52.5,15.6,5450.0,1,0,0,1.0
123,42.7,18.3,4075.0,1,0,0,1.0
267,51.1,16.5,5250.0,1,0,0,1.0
118,38.1,16.5,3825.0,1,0,0,0.0
14,34.6,21.1,4400.0,0,0,1,1.0
228,46.4,17.8,3500.0,0,1,0,0.0
124,38.6,17.0,2900.0,0,0,1,0.0
247,45.2,16.4,5950.0,1,0,0,1.0
232,52.7,19.8,3725.0,0,1,0,1.0
78,33.5,19.0,3600.0,0,0,1,0.0
165,46.5,13.5,4550.0,1,0,0,0.0
36,40.4,17.9,3200.0,1,0,0,0.0
186,44.5,14.3,4100.0,1,0,0,
26,37.8,18.3,3400.0,1,0,0,0.0
282,46.2,14.1,4375.0,1,0,0,0.0
321,52.8,20.0,4550.0,0,1,0,1.0
59,40.1,18.9,4300.0,1,0,0,1.0
34,37.9,18.6,3150.0,1,0,0,0.0
120,39.7,17.7,3200.0,1,0,0,0.0
33,40.5,17.9,3200.0,1,0,0,0.0
264,49.4,15.8,4925.0,1,0,0,1.0
185,46.1,15.1,5100.0,1,0,0,1.0
284,44.5,15.7,4875.0,1,0,0,
309,58.0,17.8,3700.0,0,1,0,0.0
343,48.1,16.4,3325.0,0,1,0,0.0
121,42.2,19.5,4275.0,1,0,0,1.0
218,43.2,14.5,4450.0,1,0,0,0.0
289,50.4,15.7,5750.0,1,0,0,1.0
274,41.7,14.7,4700.0,1,0,0,0.0
196,42.6,13.7,4950.0,1,0,0,0.0
25,46.0,21.5,4200.0,0,0,1,1.0
144,35.6,17.5,3175.0,0,1,0,0.0
67,37.6,19.1,3750.0,1,0,0,1.0
244,47.5,14.2,4600.0,1,0,0,0.0
157,37.8,18.1,3750.0,0,1,0,1.0
4,36.7,19.3,3450.0,0,0,1,0.0
64,39.0,17.5,3550.0,1,0,0,0.0
30,38.8,17.2,3800.0,1,0,0,1.0
262,44.5,14.7,4850.0,1,0,0,0.0
197,44.4,17.3,5250.0,1,0,0,1.0
91,35.1,19.4,4200.0,0,0,1,1.0
214,46.5,14.4,4900.0,1,0,0,0.0
135,41.5,18.3,4300.0,0,0,1,1.0
114,38.6,17.2,3750.0,1,0,0,0.0
147,39.7,17.9,4250.0,0,1,0,1.0
130,40.2,17.0,3450.0,0,0,1,0.0
84,40.9,16.8,3700.0,0,0,1,0.0
320,46.4,17.8,3700.0,0,1,0,0.0
111,37.8,20.0,4250.0,1,0,0,1.0
305,52.0,18.1,4050.0,0,1,0,1.0
141,37.5,18.5,4475.0,0,1,0,1.0
266,48.4,14.4,4625.0,1,0,0,0.0
164,47.6,14.5,5400.0,1,0,0,1.0
341,51.5,18.7,3250.0,0,1,0,1.0
97,38.9,18.8,3600.0,0,1,0,0.0
142,38.1,17.6,3425.0,0,1,0,0.0
79,39.7,18.4,3900.0,0,0,1,1.0
113,39.7,18.9,3550.0,1,0,0,1.0
117,43.2,19.0,4775.0,1,0,0,1.0
238,47.7,15.0,4750.0,1,0,0,0.0
354,51.9,19.5,3950.0,0,1,0,1.0
324,42.5,16.7,3350.0,0,1,0,0.0
170,40.9,13.7,4650.0,1,0,0,0.0
152,37.3,16.8,3000.0,0,1,0,0.0
143,41.1,17.5,3900.0,0,1,0,1.0
47,39.8,19.1,4650.0,0,1,0,1.0
312,42.4,17.3,3600.0,0,1,0,0.0
241,46.5,14.8,5200.0,1,0,0,0.0
275,53.4,15.8,5500.0,1,0,0,1.0
271,49.1,15.0,5500.0,1,0,0,1.0
212,45.1,14.4,4400.0,1,0,0,0.0
315,50.6,19.4,3800.0,0,1,0,1.0
240,48.2,15.6,5100.0,1,0,0,1.0
112,37.9,18.6,2925.0,1,0,0,0.0
195,48.4,16.3,5400.0,1,0,0,1.0
217,45.5,15.0,5000.0,1,0,0,1.0
53,39.6,18.8,4600.0,0,1,0,1.0
138,38.5,17.9,3325.0,0,0,1,0.0
202,45.3,13.7,4300.0,1,0,0,0.0
281,51.5,16.3,5500.0,1,0,0,1.0
184,42.9,13.1,5000.0,1,0,0,0.0
119,45.6,20.3,4600.0,1,0,0,1.0
159,41.5,18.5,4000.0,0,1,0,1.0
55,37.5,18.9,2975.0,0,1,0,
245,51.1,16.3,6000.0,1,0,0,1.0
319,49.5,19.0,3800.0,0,1,0,1.0
358,43.5,18.1,3400.0,0,1,0,0.0
190,47.3,15.3,5250.0,1,0,0,1.0
122,39.6,20.7,3900.0,1,0,0,0.0
65,40.6,18.8,3800.0,1,0,0,1.0
167,46.7,15.3,5200.0,1,0,0,1.0
83,42.8,18.5,4250.0,0,0,1,1.0
239,46.4,15.6,5000.0,1,0,0,1.0
310,46.4,18.6,3450.0,0,1,0,0.0
188,48.2,14.3,4600.0,1,0,0,0.0
342,49.8,17.3,3675.0,0,1,0,0.0
209,45.2,15.8,5300.0,1,0,0,1.0
103,40.8,18.9,4300.0,0,1,0,1.0
219,50.4,15.3,5550.0,1,0,0,1.0
221,46.2,14.9,5300.0,1,0,0,1.0
88,34.6,17.2,3200.0,0,0,1,0.0
253,50.8,17.3,5600.0,1,0,0,1.0
44,38.8,20.0,3950.0,0,1,0,1.0
258,47.5,15.0,4950.0,1,0,0,0.0
82,35.5,17.5,3700.0,0,0,1,0.0
208,44.9,13.3,5100.0,1,0,0,0.0
211,48.5,14.1,5300.0,1,0,0,1.0
317,52.0,19.0,4150.0,0,1,0,1.0
27,37.7,18.7,3600.0,1,0,0,1.0
32,40.6,18.6,3550.0,1,0,0,1.0
222,45.7,13.9,4400.0,1,0,0,0.0
38,39.5,16.7,3250.0,0,1,0,0.0
7,39.2,19.6,4675.0,0,0,1,1.0
15,36.6,17.8,3700.0,0,0,1,0.0
139,43.1,19.2,3500.0,0,0,1,1.0
56,36.0,17.9,3450.0,0,1,0,0.0
110,37.7,16.0,3075.0,1,0,0,0.0
256,47.5,14.0,4875.0,1,0,0,0.0
